# Neuron Index, RF Height, RF Width
0, 15, 15
1, 15, 16
2, 15, 17
3, 15, 18
4, 15, 19
5, 15, 20
6, 15, 21
7, 15, 21
8, 15, 21
9, 15, 21
10, 15, 21
11, 15, 21
12, 15, 21
13, 15, 21
14, 15, 20
15, 15, 19
16, 15, 18
17, 15, 17
18, 15, 16
19, 15, 15
20, 16, 15
21, 16, 16
22, 16, 17
23, 16, 18
24, 16, 19
25, 16, 20
26, 16, 21
27, 16, 21
28, 16, 21
29, 16, 21
30, 16, 21
31, 16, 21
32, 16, 21
33, 16, 21
34, 16, 20
35, 16, 19
36, 16, 18
37, 16, 17
38, 16, 16
39, 16, 15
40, 17, 15
41, 17, 16
42, 17, 17
43, 17, 18
44, 17, 19
45, 17, 20
46, 17, 21
47, 17, 21
48, 17, 21
49, 17, 21
50, 17, 21
51, 17, 21
52, 17, 21
53, 17, 21
54, 17, 20
55, 17, 19
56, 17, 18
57, 17, 17
58, 17, 16
59, 17, 15
60, 18, 15
61, 18, 16
62, 18, 17
63, 18, 18
64, 18, 19
65, 18, 20
66, 18, 21
67, 18, 21
68, 18, 21
69, 18, 21
70, 18, 21
71, 18, 21
72, 18, 21
73, 18, 21
74, 18, 20
75, 18, 19
76, 18, 18
77, 18, 17
78, 18, 16
79, 18, 15
80, 19, 15
81, 19, 16
82, 19, 17
83, 19, 18
84, 19, 19
85, 19, 20
86, 19, 21
87, 19, 21
88, 19, 21
89, 19, 21
90, 19, 21
91, 19, 21
92, 19, 21
93, 19, 21
94, 19, 20
95, 19, 19
96, 19, 18
97, 19, 17
98, 19, 16
99, 19, 15
100, 20, 15
101, 20, 16
102, 20, 17
103, 20, 18
104, 20, 19
105, 20, 20
106, 20, 21
107, 20, 21
108, 20, 21
109, 20, 21
110, 20, 21
111, 20, 21
112, 20, 21
113, 20, 21
114, 20, 20
115, 20, 19
116, 20, 18
117, 20, 17
118, 20, 16
119, 20, 15
120, 21, 15
121, 21, 16
122, 21, 17
123, 21, 18
124, 21, 19
125, 21, 20
126, 21, 21
127, 21, 21
128, 21, 21
129, 21, 21
130, 21, 21
131, 21, 21
132, 21, 21
133, 21, 21
134, 21, 20
135, 21, 19
136, 21, 18
137, 21, 17
138, 21, 16
139, 21, 15
140, 21, 15
141, 21, 16
142, 21, 17
143, 21, 18
144, 21, 19
145, 21, 20
146, 21, 21
147, 21, 21
148, 21, 21
149, 21, 21
150, 21, 21
151, 21, 21
152, 21, 21
153, 21, 21
154, 21, 20
155, 21, 19
156, 21, 18
157, 21, 17
158, 21, 16
159, 21, 15
160, 21, 15
161, 21, 16
162, 21, 17
163, 21, 18
164, 21, 19
165, 21, 20
166, 21, 21
167, 21, 21
168, 21, 21
169, 21, 21
170, 21, 21
171, 21, 21
172, 21, 21
173, 21, 21
174, 21, 20
175, 21, 19
176, 21, 18
177, 21, 17
178, 21, 16
179, 21, 15
180, 21, 15
181, 21, 16
182, 21, 17
183, 21, 18
184, 21, 19
185, 21, 20
186, 21, 21
187, 21, 21
188, 21, 21
189, 21, 21
190, 21, 21
191, 21, 21
192, 21, 21
193, 21, 21
194, 21, 20
195, 21, 19
196, 21, 18
197, 21, 17
198, 21, 16
199, 21, 15
200, 21, 15
201, 21, 16
202, 21, 17
203, 21, 18
204, 21, 19
205, 21, 20
206, 21, 21
207, 21, 21
208, 21, 21
209, 21, 21
210, 21, 21
211, 21, 21
212, 21, 21
213, 21, 21
214, 21, 20
215, 21, 19
216, 21, 18
217, 21, 17
218, 21, 16
219, 21, 15
220, 21, 15
221, 21, 16
222, 21, 17
223, 21, 18
224, 21, 19
225, 21, 20
226, 21, 21
227, 21, 21
228, 21, 21
229, 21, 21
230, 21, 21
231, 21, 21
232, 21, 21
233, 21, 21
234, 21, 20
235, 21, 19
236, 21, 18
237, 21, 17
238, 21, 16
239, 21, 15
240, 21, 15
241, 21, 16
242, 21, 17
243, 21, 18
244, 21, 19
245, 21, 20
246, 21, 21
247, 21, 21
248, 21, 21
249, 21, 21
250, 21, 21
251, 21, 21
252, 21, 21
253, 21, 21
254, 21, 20
255, 21, 19
256, 21, 18
257, 21, 17
258, 21, 16
259, 21, 15
260, 21, 15
261, 21, 16
262, 21, 17
263, 21, 18
264, 21, 19
265, 21, 20
266, 21, 21
267, 21, 21
268, 21, 21
269, 21, 21
270, 21, 21
271, 21, 21
272, 21, 21
273, 21, 21
274, 21, 20
275, 21, 19
276, 21, 18
277, 21, 17
278, 21, 16
279, 21, 15
280, 20, 15
281, 20, 16
282, 20, 17
283, 20, 18
284, 20, 19
285, 20, 20
286, 20, 21
287, 20, 21
288, 20, 21
289, 20, 21
290, 20, 21
291, 20, 21
292, 20, 21
293, 20, 21
294, 20, 20
295, 20, 19
296, 20, 18
297, 20, 17
298, 20, 16
299, 20, 15
300, 19, 15
301, 19, 16
302, 19, 17
303, 19, 18
304, 19, 19
305, 19, 20
306, 19, 21
307, 19, 21
308, 19, 21
309, 19, 21
310, 19, 21
311, 19, 21
312, 19, 21
313, 19, 21
314, 19, 20
